#method z1 z2 distance energy
CCSD 6.8 7.2 6.2 -108.78608350494
HF 6.8 7.2 6.4 -108.27353788508
MP2 6.8 7.2 6.4 -109.72751194507
HF 6.8 7.2 6.6 -108.40701274200
MP2 6.8 7.2 6.6 -108.85706499076
HF 6.8 7.2 7.0 -108.26809295906
MP2 6.8 7.2 7.0 -109.85594706210
HF 6.8 7.2 7.2 -108.40366748406
MP2 6.8 7.2 7.2 -108.87240799426
CCSD 6.8 7.2 7.2 -108.78112756453
HF 6.8 7.2 7.4 -108.40267073988
MP2 6.8 7.2 7.4 -108.87766361029
CCSD 6.8 7.2 7.4 -108.78024936481
HF 6.8 7.2 7.8 -107.96417361109
MP2 6.8 7.2 7.8 -115.24587019405
HF 6.8 7.2 8.0 -108.26084975613
MP2 6.8 7.2 8.0 -110.07213170484
HF 6.8 7.2 10.0 -103.21898660010
MP2 6.8 7.2 10.0 -105.33048493336
HF 6.7 7.3 0.6 -106.67498026294
MP2 6.7 7.3 0.6 -107.00503771457
CCSD 6.7 7.3 0.6 -107.01489650395
HF 6.7 7.3 0.8 -108.85200008022
MP2 6.7 7.3 0.8 -109.19667722163
CCSD 6.7 7.3 0.8 -109.20470729382
HF 6.7 7.3 1.0 -109.31664213725
MP2 6.7 7.3 1.0 -109.69336124755
CCSD 6.7 7.3 1.0 -109.69428334604
HF 6.7 7.3 1.2 -109.29079225490
MP2 6.7 7.3 1.2 -109.71854169891
CCSD 6.7 7.3 1.2 -109.70261752092
HF 6.7 7.3 1.4 -109.14170384450
MP2 6.7 7.3 1.4 -109.64277146354
CCSD 6.7 7.3 1.4 -109.59444434075
HF 6.7 7.3 1.6 -108.98186288633
MP2 6.7 7.3 1.6 -109.57516426230
CCSD 6.7 7.3 1.6 -109.47836820733
HF 6.7 7.3 1.8 -108.84816765889
MP2 6.7 7.3 1.8 -109.43818255231
CCSD 6.7 7.3 1.8 -109.38306147281
HF 6.7 7.3 2.6 -108.70607718530
MP2 6.7 7.3 2.6 -109.03130753269
CCSD 6.7 7.3 2.6 -109.05898373263
HF 6.7 7.3 4.4 -108.25238194723
MP2 6.7 7.3 4.4 -111.61948664319
HF 6.7 7.3 4.6 -108.65534768514
MP2 6.7 7.3 4.6 -108.93815294136
CCSD 6.7 7.3 4.6 -109.00149116644
HF 6.7 7.3 5.0 -102.84955754646
MP2 6.7 7.3 5.0 -104.64345378443
HF 6.7 7.3 5.4 -102.26776413953
MP2 6.7 7.3 5.4 -103.20647251413
HF 6.7 7.3 5.6 -102.32663738774
MP2 6.7 7.3 5.6 -285.72728485205
HF 6.7 7.3 5.8 -108.44948040876
MP2 6.7 7.3 5.8 -110.01449657583
HF 6.7 7.3 6.0 -108.44694633598
MP2 6.7 7.3 6.0 -110.06723466802
HF 6.7 7.3 6.2 -108.64551625585
MP2 6.7 7.3 6.2 -108.95912554933
CCSD 6.7 7.3 6.2 -109.00190476662
HF 6.7 7.3 6.4 -102.88247118873
MP2 6.7 7.3 6.4 -976.6180956480
HF 6.7 7.3 6.6 -103.25828939146
MP2 6.7 7.3 6.6 -104.46964804837
HF 6.7 7.3 6.8 -108.17820279729
MP2 6.7 7.3 6.8 -114.20624161032
HF 6.7 7.3 7.6 -102.88716067461
MP2 6.7 7.3 7.6 -104.57226748401
HF 6.7 7.3 7.8 -103.19912501930
MP2 6.7 7.3 7.8 -103.56852996729
HF 6.7 7.3 8.2 -108.63673854957
MP2 6.7 7.3 8.2 -108.96384997306
CCSD 6.7 7.3 8.2 -108.99365987028
HF 6.7 7.3 8.4 -102.47619417910
MP2 6.7 7.3 8.4 -105.09299967219
HF 6.7 7.3 8.8 -108.63486631563
MP2 6.7 7.3 8.8 -108.96615388343
CCSD 6.7 7.3 8.8 -108.99194908035
HF 6.7 7.3 9.0 -104.42387606583
MP2 6.7 7.3 9.0 -107.11230215452
HF 6.7 7.3 9.2 -108.63374181236
MP2 6.7 7.3 9.2 -108.96781467023
CCSD 6.7 7.3 9.2 -108.99091824008
HF 6.7 7.3 9.4 -105.19599707910
MP2 6.7 7.3 9.4 -105.01793048347
HF 6.7 7.3 9.8 -102.45214081514
MP2 6.7 7.3 9.8 -104.88896561434
HF 6.7 7.3 10.0 -108.14060361579
MP2 6.7 7.3 10.0 -117.64411778616
HF 6.6 7.4 0.6 -106.93644065147
MP2 6.6 7.4 0.6 -107.26630287564
CCSD 6.6 7.4 0.6 -107.27615572357
HF 6.6 7.4 0.8 -109.11324869941
MP2 6.6 7.4 0.8 -109.45748388966
CCSD 6.6 7.4 0.8 -109.46555747996
HF 6.6 7.4 1.0 -109.58044808469
MP2 6.6 7.4 1.0 -109.95591022904
CCSD 6.6 7.4 1.0 -109.95711593959
HF 6.6 7.4 1.2 -109.55784735445
MP2 6.6 7.4 1.2 -109.98235861595
CCSD 6.6 7.4 1.2 -109.96754846751
HF 6.6 7.4 1.4 -109.41189242579
MP2 6.6 7.4 1.4 -109.90564906761
CCSD 6.6 7.4 1.4 -109.86068716448
HF 6.6 7.4 1.6 -109.25503492617
MP2 6.6 7.4 1.6 -109.83142920216
CCSD 6.6 7.4 1.6 -109.74477319593
HF 6.6 7.4 1.8 -109.12634505519
MP2 6.6 7.4 1.8 -109.67146976979
CCSD 6.6 7.4 1.8 -109.64939903490
HF 6.6 7.4 4.0 -108.55577657750
MP2 6.6 7.4 4.0 -111.38045004347
HF 6.6 7.4 4.2 -108.54200678088
MP2 6.6 7.4 4.2 -111.58406167045
HF 6.6 7.4 5.2 -102.71320946710
MP2 6.6 7.4 5.2 -106.13058312198
HF 6.6 7.4 5.6 -102.78664421316
MP2 6.6 7.4 5.6 -105.06968055363
HF 6.6 7.4 5.8 -108.96301328633
MP2 6.6 7.4 5.8 -109.24416182209
CCSD 6.6 7.4 5.8 -109.30756437017
HF 6.6 7.4 6.2 -108.69452716554
MP2 6.6 7.4 6.2 -110.61452901359
HF 6.6 7.4 6.4 -108.46388555324
MP2 6.6 7.4 6.4 -113.87569660971
HF 6.6 7.4 6.6 -108.95954863848
MP2 6.6 7.4 6.6 -109.24067893149
CCSD 6.6 7.4 6.6 -109.30399980606
HF 6.6 7.4 6.8 -108.95882924975
MP2 6.6 7.4 6.8 -109.23992572686
