#method z1 z2 distance energy
MP2 5.4 8.6 3.2 -118.59180784195
CCSD 5.4 8.6 3.2 -118.61890113320
HF 5.4 8.6 3.4 -110.79867314642
MP2 5.4 8.6 3.4 -966.9942336886
HF 5.4 8.6 3.8 -108.56861110607
MP2 5.4 8.6 3.8 -629.8723868089
HF 5.4 8.6 4.2 -118.09585341931
MP2 5.4 8.6 4.2 -118.60918479501
CCSD 5.4 8.6 4.2 -118.60402332448
HF 5.4 8.6 4.4 -106.58164483569
MP2 5.4 8.6 4.4 -107.59163636704
HF 5.4 8.6 4.6 -118.08406452384
MP2 5.4 8.6 4.6 -118.62918291352
CCSD 5.4 8.6 4.6 -118.60160224176
HF 5.4 8.6 4.8 -118.07938403913
MP2 5.4 8.6 4.8 -118.64057192817
CCSD 5.4 8.6 4.8 -118.60065342624
HF 5.4 8.6 5.0 -106.36749514637
MP2 5.4 8.6 5.0 -106.03453819861
HF 5.4 8.6 5.4 -105.92437451251
MP2 5.4 8.6 5.4 -105.67908349443
HF 5.4 8.6 5.6 -105.95459443260
MP2 5.4 8.6 5.6 -105.37249256961
HF 5.3 8.7 0.6 -117.09679029133
MP2 5.3 8.7 0.6 -117.41819596779
CCSD 5.3 8.7 0.6 -117.42808125416
HF 5.3 8.7 0.8 -119.24554933094
MP2 5.3 8.7 0.8 -119.57382491455
CCSD 5.3 8.7 0.8 -119.58374620704
HF 5.3 8.7 1.0 -119.78878783586
MP2 5.3 8.7 1.0 -120.12930591449
CCSD 5.3 8.7 1.0 -120.13819596751
HF 5.3 8.7 1.2 -119.86547256203
MP2 5.3 8.7 1.2 -120.21848014719
CCSD 5.3 8.7 1.2 -120.22594522223
HF 5.3 8.7 1.4 -119.81663927102
MP2 5.3 8.7 1.4 -120.18130881180
CCSD 5.3 8.7 1.4 -120.18725918628
HF 5.3 8.7 1.6 -119.74245497232
MP2 5.3 8.7 1.6 -120.11714601486
CCSD 5.3 8.7 1.6 -120.12179377509
HF 5.3 8.7 1.8 -119.67119542622
MP2 5.3 8.7 1.8 -120.05365247285
CCSD 5.3 8.7 1.8 -120.05766537085
HF 5.3 8.7 2.0 -119.60995086488
MP2 5.3 8.7 2.0 -119.99821070806
CCSD 5.3 8.7 2.0 -120.00264084349
HF 5.3 8.7 2.2 -119.55919261351
MP2 5.3 8.7 2.2 -119.95271695561
CCSD 5.3 8.7 2.2 -119.95865827712
HF 5.3 8.7 2.4 -119.51769469826
MP2 5.3 8.7 2.4 -119.91774625336
CCSD 5.3 8.7 2.4 -119.92625775872
HF 5.3 8.7 2.6 -119.48363951213
MP2 5.3 8.7 2.6 -119.89235939123
CCSD 5.3 8.7 2.6 -119.90403973632
HF 5.3 8.7 2.8 -119.45545021692
MP2 5.3 8.7 2.8 -119.87496283154
CCSD 5.3 8.7 2.8 -119.88912885945
HF 5.3 8.7 3.0 -119.43202259843
MP2 5.3 8.7 3.0 -119.86416465952
CCSD 5.3 8.7 3.0 -119.87906340961
HF 5.3 8.7 3.2 -119.41253324378
MP2 5.3 8.7 3.2 -119.85885826771
CCSD 5.3 8.7 3.2 -119.87221960374
HF 5.3 8.7 4.2 -119.35342905578
MP2 5.3 8.7 4.2 -119.88643297686
CCSD 5.3 8.7 4.2 -119.85889427508
HF 5.3 8.7 4.4 -119.34639491654
MP2 5.3 8.7 4.4 -119.89863528554
CCSD 5.3 8.7 4.4 -119.85787445978
HF 5.3 8.7 4.6 -119.34033581140
MP2 5.3 8.7 4.6 -119.91209097649
CCSD 5.3 8.7 4.6 -119.85704963055
HF 5.2 8.8 0.6 -118.39431382947
MP2 5.2 8.8 0.6 -118.71452706458
CCSD 5.2 8.8 0.6 -118.72444518942
HF 5.2 8.8 0.8 -120.53689889857
MP2 5.2 8.8 0.8 -120.86327930580
CCSD 5.2 8.8 0.8 -120.87343300356
HF 5.2 8.8 1.0 -121.08685420234
MP2 5.2 8.8 1.0 -121.42422316797
CCSD 5.2 8.8 1.0 -121.43374597541
HF 5.2 8.8 1.2 -121.17272781815
MP2 5.2 8.8 1.2 -121.52094330306
CCSD 5.2 8.8 1.2 -121.52961276264
HF 5.2 8.8 1.4 -121.13321831844
MP2 5.2 8.8 1.4 -121.49140421955
CCSD 5.2 8.8 1.4 -121.49912037773
HF 5.2 8.8 1.6 -121.06727074379
MP2 5.2 8.8 1.6 -121.43407881079
CCSD 5.2 8.8 1.6 -121.44075629245
HF 5.2 8.8 1.8 -121.00275699055
MP2 5.2 8.8 1.8 -121.37648734411
CCSD 5.2 8.8 1.8 -121.38218654691
HF 5.2 8.8 2.0 -120.94673864854
MP2 5.2 8.8 2.0 -121.32595306284
CCSD 5.2 8.8 2.0 -121.33093834810
HF 5.2 8.8 2.2 -120.89969290175
MP2 5.2 8.8 2.2 -121.28372130354
CCSD 5.2 8.8 2.2 -121.28843091564
HF 5.2 8.8 2.4 -120.86062058483
MP2 5.2 8.8 2.4 -121.24971242831
CCSD 5.2 8.8 2.4 -121.25488430297
HF 5.2 8.8 2.6 -120.82802646605
MP2 5.2 8.8 2.6 -121.22312497331
CCSD 5.2 8.8 2.6 -121.22986929388
HF 5.2 8.8 2.8 -120.80062171954
MP2 5.2 8.8 2.8 -121.20303909816
CCSD 5.2 8.8 2.8 -121.21218166572
HF 5.2 8.8 3.0 -120.77752370130
MP2 5.2 8.8 3.0 -121.18870863919
CCSD 5.2 8.8 3.0 -121.20008859646
HF 5.2 8.8 3.2 -120.75806638601
MP2 5.2 8.8 3.2 -121.17947481787
CCSD 5.2 8.8 3.2 -121.19199097428
HF 5.2 8.8 3.4 -120.74166875915
MP2 5.2 8.8 3.4 -121.17469152544
CCSD 5.2 8.8 3.4 -121.18663611743
HF 5.2 8.8 3.6 -120.72781159739
MP2 5.2 8.8 3.6 -121.17372924900
CCSD 5.2 8.8 3.6 -121.18309816601
HF 5.2 8.8 4.2 -120.69738234685
MP2 5.2 8.8 4.2 -121.18820751638
CCSD 5.2 8.8 4.2 -121.17797668549
HF 5.2 8.8 4.4 -120.68993727124
MP2 5.2 8.8 4.4 -121.19727273414
CCSD 5.2 8.8 4.4 -121.17714420033
HF 5.2 8.8 4.6 -120.68347289163
MP2 5.2 8.8 4.6 -121.20782923125
CCSD 5.2 8.8 4.6 -121.17651400977
HF 5.2 8.8 5.2 -120.66850478671
MP2 5.2 8.8 5.2 -121.24570848013
CCSD 5.2 8.8 5.2 -121.17530155006
HF 5.2 8.8 6.8 -120.64637978372
MP2 5.2 8.8 6.8 -121.36500885850
CCSD 5.2 8.8 6.8 -121.17393217270
HF 5.1 8.9 0.6 -119.76474199812
MP2 5.1 8.9 0.6 -120.08367035423
CCSD 5.1 8.9 0.6 -120.09362839047
HF 5.1 8.9 0.8 -121.90021503560
MP2 5.1 8.9 0.8 -122.22462080811
CCSD 5.1 8.9 0.8 -122.23501528585
HF 5.1 8.9 1.0 -122.45661002240
MP2 5.1 8.9 1.0 -122.79084850950
CCSD 5.1 8.9 1.0 -122.80098243706
HF 5.1 8.9 1.2 -122.55144261458
MP2 5.1 8.9 1.2 -122.89510310020
CCSD 5.1 8.9 1.2 -122.90486626141
HF 5.1 8.9 1.4 -122.52114014132
MP2 5.1 8.9 1.4 -122.87335228142
CCSD 5.1 8.9 1.4 -122.88260862369
HF 5.1 8.9 1.6 -122.46349367244
MP2 5.1 8.9 1.6 -122.82304090453
CCSD 5.1 8.9 1.6 -122.83153784076
HF 5.1 8.9 1.8 -122.40609410989
MP2 5.1 8.9 1.8 -122.77132729942
CCSD 5.1 8.9 1.8 -122.77894078310
HF 5.1 8.9 2.0 -122.35612581246
MP2 5.1 8.9 2.0 -122.72540145048
CCSD 5.1 8.9 2.0 -122.73228972342
HF 5.1 8.9 2.2 -122.31412651544
MP2 5.1 8.9 2.2 -122.68620362782
CCSD 5.1 8.9 2.2 -122.69272425928
HF 5.1 8.9 2.4 -122.27919515343
MP2 5.1 8.9 2.4 -122.65337154131
CCSD 5.1 8.9 2.4 -122.65997724055
HF 5.1 8.9 2.6 -122.24991589592
MP2 5.1 8.9 2.6 -122.62592326224
CCSD 5.1 8.9 2.6 -122.63319052623
HF 5.1 8.9 2.8 -122.22509287790
MP2 5.1 8.9 2.8 -122.60296983048
CCSD 5.1 8.9 2.8 -122.61166492923
HF 5.1 8.9 3.0 -122.20396018982
MP2 5.1 8.9 3.0 -122.58398171962
CCSD 5.1 8.9 3.0 -122.59497739895
HF 5.1 8.9 3.2 -122.18596270783
MP2 5.1 8.9 3.2 -122.56860488660
CCSD 5.1 8.9 3.2 -122.58261160645
HF 5.1 8.9 3.4 -122.17061231834
MP2 5.1 8.9 3.4 -122.55652733379
CCSD 5.1 8.9 3.4 -122.57386425758
HF 5.1 8.9 3.6 -122.15746806133
MP2 5.1 8.9 3.6 -122.54745375564
CCSD 5.1 8.9 3.6 -122.56796102678
HF 5.1 8.9 3.8 -122.14615010251
MP2 5.1 8.9 3.8 -122.54110763102
CCSD 5.1 8.9 3.8 -122.56414712969
HF 5.1 8.9 4.0 -122.13634606594
MP2 5.1 8.9 4.0 -122.53722733323
CCSD 5.1 8.9 4.0 -122.56176322871
HF 5.1 8.9 4.2 -122.12780526306
MP2 5.1 8.9 4.2 -122.53555693453
CCSD 5.1 8.9 4.2 -122.56029896663
HF 5.1 8.9 4.4 -122.12032697059
MP2 5.1 8.9 4.4 -122.53584055348
CCSD 5.1 8.9 4.4 -122.55939987971
HF 5.1 8.9 4.6 -122.11374862163
MP2 5.1 8.9 4.6 -122.53782469238
CCSD 5.1 8.9 4.6 -122.55883963000
HF 5.1 8.9 4.8 -122.10793657446
MP2 5.1 8.9 4.8 -122.54126593473
CCSD 5.1 8.9 4.8 -122.55848191821
HF 5.1 8.9 5.0 -122.10277959043
MP2 5.1 8.9 5.0 -122.54593878704
CCSD 5.1 8.9 5.0 -122.55824737432
HF 5.1 8.9 5.2 -122.09818425139
MP2 5.1 8.9 5.2 -122.55164083613
CCSD 5.1 8.9 5.2 -122.55809013090
HF 5.1 8.9 5.4 -122.09407161810
MP2 5.1 8.9 5.4 -122.55819472720
CCSD 5.1 8.9 5.4 -122.55798324983
HF 5.1 8.9 5.6 -122.09037470511
MP2 5.1 8.9 5.6 -122.56544805882
CCSD 5.1 8.9 5.6 -122.44186709484
HF 5.0 9.0 0.8 -123.33521462185
MP2 5.0 9.0 0.8 -123.65756820090
CCSD 5.0 9.0 0.8 -123.66821039419
HF 5.0 9.0 1.0 -123.89769299480
MP2 5.0 9.0 1.0 -124.22882182691
CCSD 5.0 9.0 1.0 -124.23954321306
HF 5.0 9.0 1.2 -124.00117468526
MP2 5.0 9.0 1.2 -124.34049448675
CCSD 5.0 9.0 1.2 -124.35124982959
HF 5.0 9.0 1.4 -123.97989284616
MP2 5.0 9.0 1.4 -124.32656636363
CCSD 5.0 9.0 1.4 -124.33717306032
HF 5.0 9.0 1.6 -123.93053206928
MP2 5.0 9.0 1.6 -124.28337429612
CCSD 5.0 9.0 1.6 -124.29349762933
HF 5.0 9.0 1.8 -123.88045517701
MP2 5.0 9.0 1.8 -124.23767874213
CCSD 5.0 9.0 1.8 -124.24719400245
HF 5.0 9.0 2.0 -123.83700946274
MP2 5.0 9.0 2.0 -124.19666049390
CCSD 5.0 9.0 2.0 -124.20582758417
HF 5.0 9.0 2.2 -123.80078390633
MP2 5.0 9.0 2.2 -124.16123880465
CCSD 5.0 9.0 2.2 -124.17051819181
HF 5.0 9.0 2.4 -123.77094469763
MP2 5.0 9.0 2.4 -124.13112003021
CCSD 5.0 9.0 2.4 -124.14093973025
HF 5.0 9.0 2.6 -123.74610791877
MP2 5.0 9.0 2.6 -124.10536792461
CCSD 5.0 9.0 2.6 -124.11604414560
HF 5.0 9.0 2.8 -123.72512164958
MP2 5.0 9.0 2.8 -124.08312952658
CCSD 5.0 9.0 2.8 -124.09488318578
HF 5.0 9.0 3.0 -123.70729495904
MP2 5.0 9.0 3.0 -124.06390778054
CCSD 5.0 9.0 3.0 -124.07690587519
HF 5.0 9.0 3.2 -123.69214529222
MP2 5.0 9.0 3.2 -124.04734383410
CCSD 5.0 9.0 3.2 -124.06174133068
HF 5.0 9.0 3.4 -123.67923769917
MP2 5.0 9.0 3.4 -124.03307908953
CCSD 5.0 9.0 3.4 -124.04905447299
HF 5.0 9.0 3.6 -123.66816828859
MP2 5.0 9.0 3.6 -124.02075518038
CCSD 5.0 9.0 3.6 -124.03852698411
HF 5.0 9.0 3.8 -123.65858571196
MP2 5.0 9.0 3.8 -124.01004736859
CCSD 5.0 9.0 3.8 -124.02985205221
HF 5.0 9.0 4.0 -123.65020334775
MP2 5.0 9.0 4.0 -124.00068493488
CCSD 5.0 9.0 4.0 -124.02272659399
HF 5.0 9.0 4.2 -123.64279723552
MP2 5.0 9.0 4.2 -123.99245414713
CCSD 5.0 9.0 4.2 -124.01687904895
HF 5.0 9.0 4.4 -123.63619595237
MP2 5.0 9.0 4.4 -123.98519134639
CCSD 5.0 9.0 4.4 -123.99384809108
HF 5.0 9.0 4.6 -123.63026850668
MP2 5.0 9.0 4.6 -123.97877396823
CCSD 5.0 9.0 4.6 -123.98844361756
HF 5.0 9.0 4.8 -123.62491369152
MP2 5.0 9.0 4.8 -123.97311400412
CCSD 5.0 9.0 4.8 -123.98340882887
HF 5.0 9.0 5.0 -123.62005198830
MP2 5.0 9.0 5.0 -123.96815498054
CCSD 5.0 9.0 5.0 -123.97874190848
HF 5.0 9.0 5.2 -123.61561985585
MP2 5.0 9.0 5.2 -123.96387088991
CCSD 5.0 9.0 5.2 -123.97442669218
HF 5.0 9.0 5.4 -123.61156581062
MP2 5.0 9.0 5.4 -123.96026239749
CCSD 5.0 9.0 5.4 -123.97043988144
HF 5.0 9.0 5.6 -123.60784761815
MP2 5.0 9.0 5.6 -123.95734343338
CCSD 5.0 9.0 5.6 -123.96675511763
HF 5.0 9.0 5.8 -123.60443000271
MP2 5.0 9.0 5.8 -123.95511757636
CCSD 5.0 9.0 5.8 -123.96334509544
HF 5.0 9.0 6.4 -123.59503704686
MP2 5.0 9.0 6.4 -123.93788518330
CCSD 5.0 9.0 6.4 -123.95407570546
HF 5.0 9.0 6.6 -123.59246907368
MP2 5.0 9.0 6.6 -123.93508029487
CCSD 5.0 9.0 6.6 -123.95148307886
HF 5.0 9.0 6.8 -123.59005292274
MP2 5.0 9.0 6.8 -123.93257389805
CCSD 5.0 9.0 6.8 -123.94905279607
HF 5.0 9.0 7.0 -123.58777827654
MP2 5.0 9.0 7.0 -123.93025568443
CCSD 5.0 9.0 7.0 -123.94676856925
HF 5.0 9.0 7.2 -123.58563395787
MP2 5.0 9.0 7.2 -123.92808686419
CCSD 5.0 9.0 7.2 -123.94461715686
HF 5.0 9.0 7.4 -123.58360931966
MP2 5.0 9.0 7.4 -123.92604667968
CCSD 5.0 9.0 7.4 -123.94258699498
HF 5.0 9.0 7.6 -123.58169459114
MP2 5.0 9.0 7.6 -123.92412109432
CCSD 5.0 9.0 7.6 -123.94066783582
HF 5.0 9.0 7.8 -123.57988093100
MP2 5.0 9.0 7.8 -123.92229928383
CCSD 5.0 9.0 7.8 -123.93885055657
HF 5.0 9.0 8.0 -123.57816038230
MP2 5.0 9.0 8.0 -123.92057229286
CCSD 5.0 9.0 8.0 -123.93712701638
HF 5.0 9.0 8.2 -123.57652579491
MP2 5.0 9.0 8.2 -123.91893242980
CCSD 5.0 9.0 8.2 -123.93548993531
HF 5.0 9.0 8.4 -123.57497074070
MP2 5.0 9.0 8.4 -123.91737295045
CCSD 5.0 9.0 8.4 -123.93393278838
HF 5.0 9.0 8.6 -123.57348943129
MP2 5.0 9.0 8.6 -123.91588786809
CCSD 5.0 9.0 8.6 -123.93244971237
HF 5.0 9.0 8.8 -123.57207664279
MP2 5.0 9.0 8.8 -123.91447182545
CCSD 5.0 9.0 8.8 -123.93103542412
HF 5.0 9.0 9.0 -123.57072764835
MP2 5.0 9.0 9.0 -123.91312000050
CCSD 5.0 9.0 9.0 -123.92968514935
HF 5.0 9.0 9.2 -123.56943815916
MP2 5.0 9.0 9.2 -123.91182803300
CCSD 5.0 9.0 9.2 -123.92839456089
HF 5.0 9.0 9.4 -123.56820427301
MP2 5.0 9.0 9.4 -123.91059196511
CCSD 5.0 9.0 9.4 -123.92715972545
HF 4.9 9.1 0.8 -124.84160332573
MP2 4.9 9.1 0.8 -125.16182848470
CCSD 4.9 9.1 0.8 -125.17272381273
HF 4.9 9.1 1.0 -125.40973252729
MP2 4.9 9.1 1.0 -125.73777201254
CCSD 4.9 9.1 1.0 -125.74905588389
HF 4.9 9.1 1.2 -125.52147976116
MP2 4.9 9.1 1.2 -125.85664696324
CCSD 4.9 9.1 1.2 -125.86830235153
HF 4.9 9.1 1.4 -125.50896599096
MP2 4.9 9.1 1.4 -125.85046680181
CCSD 4.9 9.1 1.4 -125.86226273135
HF 4.9 9.1 1.6 -125.46778892085
MP2 4.9 9.1 1.6 -125.81442055781
CCSD 4.9 9.1 1.6 -125.82598958443
HF 4.9 9.1 1.8 -125.42507770448
MP2 4.9 9.1 1.8 -125.77490381294
CCSD 4.9 9.1 1.8 -125.78617548769
HF 4.9 9.1 2.0 -125.38831685416
MP2 4.9 9.1 2.0 -125.73923073009
CCSD 4.9 9.1 2.0 -125.75055669730
HF 4.9 9.1 2.2 -125.35808996736
MP2 4.9 9.1 2.2 -125.70845746956
CCSD 4.9 9.1 2.2 -125.72031939485
HF 4.9 9.1 2.4 -125.33358723255
MP2 4.9 9.1 2.4 -125.68248382592
CCSD 4.9 9.1 2.4 -125.69521483000
HF 4.9 9.1 2.6 -125.31342958646
MP2 4.9 9.1 2.6 -125.66048941674
CCSD 4.9 9.1 2.6 -125.67421492243
HF 4.9 9.1 2.8 -125.29650018551
MP2 4.9 9.1 2.8 -125.64169799914
CCSD 4.9 9.1 2.8 -125.65638858899
HF 4.9 9.1 3.0 -125.28219022817
MP2 4.9 9.1 3.0 -125.62568520712
CCSD 4.9 9.1 3.0 -125.64122380609
HF 4.9 9.1 3.2 -125.27010538076
MP2 4.9 9.1 3.2 -125.61213892687
CCSD 4.9 9.1 3.2 -125.62837231773
HF 4.9 9.1 3.4 -125.25988190137
MP2 4.9 9.1 3.4 -125.60071415447
CCSD 4.9 9.1 3.4 -125.61748612815
HF 4.9 9.1 3.6 -125.25116985036
MP2 4.9 9.1 3.6 -125.59104495967
CCSD 4.9 9.1 3.6 -125.60821479511
HF 4.9 9.1 3.8 -125.24366012224
MP2 4.9 9.1 3.8 -125.58279054845
CCSD 4.9 9.1 3.8 -125.60024123830
HF 4.9 9.1 4.0 -125.23710132165
MP2 4.9 9.1 4.0 -125.57566317991
CCSD 4.9 9.1 4.0 -125.59330326573
HF 4.9 9.1 4.2 -125.23130063964
MP2 4.9 9.1 4.2 -125.56943477416
CCSD 4.9 9.1 4.2 -125.58719664490
HF 4.9 9.1 4.4 -125.22611506824
MP2 4.9 9.1 4.4 -125.56393089950
CCSD 4.9 9.1 4.4 -125.58176736060
HF 4.9 9.1 4.6 -125.22143946510
MP2 4.9 9.1 4.6 -125.55902004096
CCSD 4.9 9.1 4.6 -125.57690031480
HF 4.9 9.1 4.8 -125.21719553890
MP2 4.9 9.1 4.8 -125.55460280564
CCSD 4.9 9.1 4.8 -125.57250882302
HF 4.9 9.1 5.0 -125.21332335879
MP2 4.9 9.1 5.0 -125.55060298936
CCSD 4.9 9.1 5.0 -125.56852665424
HF 4.9 9.1 5.2 -125.20977545396
MP2 4.9 9.1 5.2 -125.54696089104
CCSD 4.9 9.1 5.2 -125.56490303179
HF 4.9 9.1 5.4 -125.20651296633
MP2 4.9 9.1 5.4 -125.54362861163
CCSD 4.9 9.1 5.4 -125.56160115126
HF 4.9 9.1 5.6 -125.20350323642
MP2 4.9 9.1 5.6 -125.54056687554
CCSD 4.9 9.1 5.6 -125.55860318097
HF 4.9 9.1 5.8 -125.20071831059
MP2 4.9 9.1 5.8 -125.53774291743
CCSD 4.9 9.1 5.8 -125.55592940329
HF 4.9 9.1 6.0 -125.19813400186
MP2 4.9 9.1 6.0 -125.53512906433
CCSD 4.9 9.1 6.0 -125.55255064840
HF 4.9 9.1 6.2 -125.19572926350
MP2 4.9 9.1 6.2 -125.53270174934
CCSD 4.9 9.1 6.2 -125.55027278912
HF 4.9 9.1 6.4 -125.19348573060
MP2 4.9 9.1 6.4 -125.53044078636
CCSD 4.9 9.1 6.4 -125.54807657488
HF 4.9 9.1 6.6 -125.19138735166
MP2 4.9 9.1 6.6 -125.52832880574
CCSD 4.9 9.1 6.6 -125.54599674434
HF 4.9 9.1 6.8 -125.18942007404
MP2 4.9 9.1 6.8 -125.52635079728
CCSD 4.9 9.1 6.8 -125.54403684190
HF 4.9 9.1 7.0 -125.18757157014
MP2 4.9 9.1 7.0 -125.52449373367
CCSD 4.9 9.1 7.0 -125.54219099800
HF 4.9 9.1 7.2 -125.18583099955
MP2 4.9 9.1 7.2 -125.52274625970
CCSD 4.9 9.1 7.2 -125.54045101109
HF 4.9 9.1 7.4 -125.18418880498
MP2 4.9 9.1 7.4 -125.52109843648
CCSD 4.9 9.1 7.4 -125.53880849216
HF 4.9 9.1 7.6 -125.18263653834
MP2 4.9 9.1 7.6 -125.51954153103
CCSD 4.9 9.1 7.6 -125.53725553565
HF 4.9 9.1 7.8 -125.18116671258
MP2 4.9 9.1 7.8 -125.51806784227
CCSD 4.9 9.1 7.8 -125.53578491085
HF 4.9 9.1 8.0 -125.17977267506
MP2 4.9 9.1 8.0 -125.51667055569
CCSD 4.9 9.1 8.0 -125.53439008411
HF 4.9 9.1 8.2 -125.17844849836
MP2 4.9 9.1 8.2 -125.51534362080
CCSD 4.9 9.1 8.2 -125.53306517935
HF 4.9 9.1 8.4 -125.17718888583
MP2 4.9 9.1 8.4 -125.51408164670
CCSD 4.9 9.1 8.4 -125.53180491781
HF 4.9 9.1 8.6 -125.17598908967
MP2 4.9 9.1 8.6 -125.51287981290
CCSD 4.9 9.1 8.6 -125.53060455342
HF 4.9 9.1 8.8 -125.17484484001
MP2 4.9 9.1 8.8 -125.51173379295
CCSD 4.9 9.1 8.8 -125.52945981073
HF 4.9 9.1 9.0 -125.17375228375
MP2 4.9 9.1 9.0 -125.51063968930
CCSD 4.9 9.1 9.0 -125.52836682827
HF 4.9 9.1 9.2 -125.17270793204
MP2 4.9 9.1 9.2 -125.50959397782
CCSD 4.9 9.1 9.2 -125.52732210836
HF 4.9 9.1 9.4 -125.17170861554
MP2 4.9 9.1 9.4 -125.50859346077
CCSD 4.9 9.1 9.4 -125.52632247329
HF 4.9 9.1 9.6 -125.17075144611
MP2 4.9 9.1 9.6 -125.50763522693
CCSD 4.9 9.1 9.6 -125.52536502748
HF 4.9 9.1 9.8 -125.16983378428
MP2 4.9 9.1 9.8 -125.50671661790
CCSD 4.9 9.1 9.8 -125.52444712510
HF 4.9 9.1 10.0 -125.16895321149
MP2 4.9 9.1 10.0 -125.50583519933
CCSD 4.9 9.1 10.0 -125.52356634216
HF 4.8 9.2 1.0 -126.99235033049
MP2 4.8 9.2 1.0 -127.31731819062
CCSD 4.8 9.2 1.0 -127.32913882462
HF 4.8 9.2 1.2 -127.11191234998
MP2 4.8 9.2 1.2 -127.44308779131
CCSD 4.8 9.2 1.2 -127.45556011293
HF 4.8 9.2 1.4 -127.10785181848
MP2 4.8 9.2 1.4 -127.44448410666
CCSD 4.8 9.2 1.4 -127.45733096811
HF 4.8 9.2 1.6 -127.07466855066
MP2 4.8 9.2 1.6 -127.41552452787
CCSD 4.8 9.2 1.6 -127.42837002081
HF 4.8 9.2 1.8 -127.03920896346
MP2 4.8 9.2 1.8 -127.38227105486
CCSD 4.8 9.2 1.8 -127.39509485146
HF 4.8 9.2 2.0 -127.00904092703
MP2 4.8 9.2 2.0 -127.35224109179
CCSD 4.8 9.2 2.0 -127.36542060374
HF 4.8 9.2 2.2 -126.98468091752
MP2 4.8 9.2 2.2 -127.32662031570
CCSD 4.8 9.2 2.2 -127.34056445597
HF 4.8 9.2 2.4 -126.96531081840
MP2 4.8 9.2 2.4 -127.30541602754
CCSD 4.8 9.2 2.4 -127.32030848777
HF 4.8 9.2 2.6 -126.94954623611
MP2 4.8 9.2 2.6 -127.28779635849
CCSD 4.8 9.2 2.6 -127.30360363626
HF 4.8 9.2 2.8 -126.93631314907
MP2 4.8 9.2 2.8 -127.27294643626
CCSD 4.8 9.2 2.8 -127.28952035093
HF 4.8 9.2 3.0 -126.92510564453
MP2 4.8 9.2 3.0 -127.26044202383
CCSD 4.8 9.2 3.0 -127.27760447345
HF 4.8 9.2 3.2 -126.91564266716
MP2 4.8 9.2 3.2 -127.24999222601
CCSD 4.8 9.2 3.2 -127.26758143899
HF 4.8 9.2 3.4 -126.90765472843
MP2 4.8 9.2 3.4 -127.24127842625
CCSD 4.8 9.2 3.4 -127.25916607823
HF 4.8 9.2 3.6 -126.90086411707
MP2 4.8 9.2 3.6 -127.23396508894
CCSD 4.8 9.2 3.6 -127.25205718102
HF 4.8 9.2 3.8 -126.89501705719
MP2 4.8 9.2 3.8 -127.22774632386
CCSD 4.8 9.2 3.8 -127.24597738204
HF 4.8 9.2 4.0 -126.88990590041
MP2 4.8 9.2 4.0 -127.22237254506
CCSD 4.8 9.2 4.0 -127.24069842942
HF 4.8 9.2 4.2 -126.88537371371
MP2 4.8 9.2 4.2 -127.21765497676
CCSD 4.8 9.2 4.2 -127.23604652440
HF 4.8 9.2 4.4 -126.88130752051
MP2 4.8 9.2 4.4 -127.21345733537
CCSD 4.8 9.2 4.4 -127.23189543995
HF 4.8 9.2 4.6 -126.87762729146
MP2 4.8 9.2 4.6 -127.20968303202
CCSD 4.8 9.2 4.6 -127.22815511171
HF 4.8 9.2 4.8 -126.87427545307
MP2 4.8 9.2 4.8 -127.20626301595
CCSD 4.8 9.2 4.8 -127.22476062765
HF 4.8 9.2 5.0 -126.87120891729
MP2 4.8 9.2 5.0 -127.20314636817
CCSD 4.8 9.2 5.0 -127.22166368156
HF 4.8 9.2 5.2 -126.86839377217
MP2 4.8 9.2 5.2 -127.20029385451
CCSD 4.8 9.2 5.2 -127.21882671285
HF 4.8 9.2 5.4 -126.86580202954
MP2 4.8 9.2 5.4 -127.19767384939
CCSD 4.8 9.2 5.4 -127.21621919809
HF 4.8 9.2 5.6 -126.86340974623
MP2 4.8 9.2 5.6 -127.19525989871
CCSD 4.8 9.2 5.6 -127.21381543232
HF 4.8 9.2 5.8 -126.86119598411
MP2 4.8 9.2 5.8 -127.19302931192
CCSD 4.8 9.2 5.8 -127.21159324967
HF 4.8 9.2 6.0 -126.85914224228
MP2 4.8 9.2 6.0 -127.19096235151
CCSD 4.8 9.2 6.0 -127.20953329028
HF 4.8 9.2 6.2 -126.85723212869
MP2 4.8 9.2 6.2 -127.18904174246
CCSD 4.8 9.2 6.2 -127.20761855802
HF 4.8 9.2 6.4 -126.85545113528
MP2 4.8 9.2 6.4 -127.18725233808
CCSD 4.8 9.2 6.4 -127.20583411719
HF 4.8 9.2 6.6 -126.85378644850
MP2 4.8 9.2 6.6 -127.18558085627
CCSD 4.8 9.2 6.6 -127.20416684894
HF 4.8 9.2 6.8 -126.85222676935
MP2 4.8 9.2 6.8 -127.18401564898
CCSD 4.8 9.2 6.8 -127.20260523424
HF 4.8 9.2 7.0 -126.85076213984
MP2 4.8 9.2 7.0 -127.18254649405
CCSD 4.8 9.2 7.0 -127.20113915461
HF 4.8 9.2 7.2 -126.84938378021
MP2 4.8 9.2 7.2 -127.18116440870
CCSD 4.8 9.2 7.2 -127.19975971176
HF 4.8 9.2 7.4 -126.84808394144
MP2 4.8 9.2 7.4 -127.17986148571
CCSD 4.8 9.2 7.4 -127.19845906800
HF 4.8 9.2 7.6 -126.84685577478
MP2 4.8 9.2 7.6 -127.17863075166
